,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Memo
0,2023-04-07 00:00:00,3000.0,0.0,0.0,
1,2023-04-08 00:00:00,3000.0,30.0,0.0,food ($30.0) ; 
2,2023-04-09 00:00:00,3000.0,60.0,0.0,food ($30.0) ; 
3,2023-04-10 00:00:00,3000.0,90.0,0.0,food ($30.0) ; 
4,2023-04-11 00:00:00,3000.0,120.0,0.0,food ($30.0) ; 
5,2023-04-12 00:00:00,3000.0,150.0,0.0,food ($30.0) ; 
6,2023-04-13 00:00:00,3000.0,180.0,0.0,food ($30.0) ; 
7,2023-04-14 00:00:00,3000.0,210.0,0.0,food ($30.0) ; 
8,2023-04-15 00:00:00,3000.0,240.0,0.0,food ($30.0) ; 
9,2023-04-16 00:00:00,4000.0,270.0,0.0,income_1k ($1000.0) ; food ($30.0) ; 
10,2023-04-17 00:00:00,4000.0,300.0,0.0,food ($30.0) ; 
11,2023-04-18 00:00:00,4000.0,330.0,0.0,food ($30.0) ; 
12,2023-04-19 00:00:00,4000.0,360.0,0.0,food ($30.0) ; 
13,2023-04-20 00:00:00,4000.0,390.0,0.0,food ($30.0) ; 
14,2023-04-21 00:00:00,4000.0,420.0,0.0,food ($30.0) ; 
15,2023-04-22 00:00:00,4000.0,450.0,0.0,food ($30.0) ; 
16,2023-04-23 00:00:00,4000.0,480.0,0.0,food ($30.0) ; 
17,2023-04-24 00:00:00,4000.0,510.0,0.0,food ($30.0) ; 
18,2023-04-25 00:00:00,4000.0,540.0,0.0,food ($30.0) ; 
19,2023-04-26 00:00:00,4000.0,570.0,0.0,food ($30.0) ; 
20,2023-04-27 00:00:00,4000.0,600.0,0.0,food ($30.0) ; 
21,2023-04-28 00:00:00,4000.0,1223.5900000000001,0.0,health insurance ($175.5) ; phone bill ($163.09) ; gas and bus ($100.0) ; car insurance ($89.0) ; gym ($33.0) ; food ($30.0) ; hbo max ($15.0) ; spotify ($10.0) ; hulu ($8.0) ; 
22,2023-04-29 00:00:00,4000.0,1253.5900000000001,0.0,food ($30.0) ; 
23,2023-04-30 00:00:00,5000.0,1283.5900000000001,0.0,income_1k ($1000.0) ; food ($30.0) ; 
24,2023-05-01 00:00:00,5000.0,1313.5900000000001,0.0,food ($30.0) ; 
25,2023-05-02 00:00:00,5000.0,1343.5900000000001,0.0,food ($30.0) ; 
26,2023-05-03 00:00:00,4960.0,0.0,1333.59,food ($30.0) ; Credit cc min payment ($40) ; 
27,2023-05-04 00:00:00,4960.0,30.0,1333.59,food ($30.0) ; 
28,2023-05-05 00:00:00,4960.0,60.0,1333.59,food ($30.0) ; 
29,2023-05-06 00:00:00,4960.0,90.0,1333.59,food ($30.0) ; 
30,2023-05-07 00:00:00,4960.0,120.0,1333.59,food ($30.0) ; 
31,2023-05-08 00:00:00,4960.0,150.0,1333.59,food ($30.0) ; 
32,2023-05-09 00:00:00,4960.0,180.0,1333.59,food ($30.0) ; 
33,2023-05-10 00:00:00,4960.0,210.0,1333.59,food ($30.0) ; 
34,2023-05-11 00:00:00,4960.0,240.0,1333.59,food ($30.0) ; 
35,2023-05-12 00:00:00,4960.0,270.0,1333.59,food ($30.0) ; 
36,2023-05-13 00:00:00,4960.0,300.0,1333.59,food ($30.0) ; 
37,2023-05-14 00:00:00,5960.0,330.0,1333.59,income_1k ($1000.0) ; food ($30.0) ; 
38,2023-05-15 00:00:00,5960.0,360.0,1333.59,food ($30.0) ; 
39,2023-05-16 00:00:00,5960.0,390.0,1333.59,food ($30.0) ; 
40,2023-05-17 00:00:00,5960.0,420.0,1333.59,food ($30.0) ; 
41,2023-05-18 00:00:00,5960.0,450.0,1333.59,food ($30.0) ; 
42,2023-05-19 00:00:00,5960.0,480.0,1333.59,food ($30.0) ; 
43,2023-05-20 00:00:00,5960.0,510.0,1333.59,food ($30.0) ; 
44,2023-05-21 00:00:00,5960.0,540.0,1333.59,food ($30.0) ; 
45,2023-05-22 00:00:00,5960.0,570.0,1333.59,food ($30.0) ; 
46,2023-05-23 00:00:00,5960.0,600.0,1333.59,food ($30.0) ; 
47,2023-05-24 00:00:00,5960.0,630.0,1333.59,food ($30.0) ; 
48,2023-05-25 00:00:00,5960.0,660.0,1333.59,food ($30.0) ; 
49,2023-05-26 00:00:00,5960.0,690.0,1333.59,food ($30.0) ; 
