,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Dad: Principal Balance,Dad: Interest,Student Loans: Principal Balance,Student Loans: Interest,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Memo Directives,Memo
0,20241018,2479.42,0.0,12609.79,15900.0,0.0,15000.0,100.0,0.0,0.0,0.0,-41130.37,31000.0,12609.79,2479.42,,
1,20241019,2479.42,20.0,12609.79,15900.0,0.0,15000.0,102.46,2.46,0.0,22.46,-41152.83,31002.46,12629.79,2479.42,,food (Credit -$20.00)
2,20241020,2479.42,135.0,12609.79,15900.0,0.0,15000.0,104.92,2.46,0.0,117.46,-41270.29,31004.92,12744.79,2479.42,,car insurance (Credit -$95.00); food (Credit -$20.00)
3,20241021,2479.42,155.0,12609.79,15900.0,0.0,15000.0,107.38,2.46,0.0,22.46,-41292.75,31007.38,12764.79,2479.42,,food (Credit -$20.00)
4,20241022,2479.42,255.0,12609.79,15900.0,0.0,15000.0,109.84,2.46,0.0,102.46,-41395.21000000001,31009.84,12864.79,2479.42,,gas (Credit -$80.00); food (Credit -$20.00)
5,20241023,2479.42,275.0,12609.79,15900.0,0.0,15000.0,112.3,2.46,0.0,22.46,-41417.67,31012.3,12884.79,2479.42,,food (Credit -$20.00)
6,20241024,2479.42,295.0,12609.79,15900.0,0.0,15000.0,114.76,2.46,0.0,22.46,-41440.130000000005,31014.76,12904.79,2479.42,,food (Credit -$20.00)
7,20241025,4079.42,315.0,12609.79,15900.0,0.0,15000.0,117.22,2.46,1577.54,0.0,-39862.590000000004,31017.22,12924.79,4079.42,,EMT income (Checking +$1600.00); food (Credit -$20.00)
8,20241026,4079.42,335.0,12609.79,15900.0,0.0,15000.0,119.68,2.46,0.0,22.46,-39885.05,31019.68,12944.79,4079.42,,food (Credit -$20.00)
9,20241027,4079.42,355.0,12609.79,15900.0,0.0,15000.0,122.14,2.46,0.0,22.46,-39907.51,31022.14,12964.79,4079.42,,food (Credit -$20.00)
10,20241028,4079.42,375.0,12609.79,15900.0,0.0,15000.0,124.6,2.46,0.0,22.46,-39929.97,31024.6,12984.79,4079.42,,food (Credit -$20.00)
11,20241029,4079.42,395.0,12609.79,15900.0,0.0,15000.0,127.06,2.46,0.0,22.46,-39952.43000000001,31027.06,13004.79,4079.42,,food (Credit -$20.00)
12,20241030,4079.42,415.0,12609.79,15900.0,0.0,15000.0,129.52,2.46,0.0,22.46,-39974.89,31029.52,13024.79,4079.42,,food (Credit -$20.00)
13,20241031,4079.42,435.0,12609.79,15900.0,0.0,15000.0,131.98,2.46,0.0,22.46,-39997.350000000006,31031.98,13044.79,4079.42,,food (Credit -$20.00)
14,20241101,3579.42,555.0,12609.79,15400.0,0.0,15000.0,134.44,2.46,0.0,122.46,-40119.81,30534.44,13164.79,3579.42, LOAN MIN PAYMENT (Dad: Principal Balance -$500.00);  LOAN MIN PAYMENT (Checking -$500.00); ,storage unit rent (Credit -$100.00); food (Credit -$20.00)
15,20241102,3579.42,665.0,12609.79,15400.0,0.0,15000.0,136.9,2.46,0.0,112.46000000000001,-40232.270000000004,30536.9,13274.79,3579.42,,parking (Credit -$50.00); food (Credit -$20.00); hulu (Credit -$20.00); ai daddy (Credit -$20.00)
16,20241103,3356.23,685.0,12609.79,15400.0,0.0,14916.17,0.0,2.46,0.0,22.46,-40254.73,30316.17,13294.79,3356.23, LOAN MIN PAYMENT (Student Loans: Interest -$139.36);  LOAN MIN PAYMENT (Student Loans: Principal Balance -$83.83);  LOAN MIN PAYMENT (Checking -$223.19); ,food (Credit -$20.00)
17,20241104,3356.23,705.0,12609.79,15400.0,0.0,14916.17,2.45,2.45,0.0,22.45,-40277.18000000001,30318.62,13314.79,3356.23,,food (Credit -$20.00)
18,20241105,430.73,805.0,9684.29,15400.0,0.0,14916.17,4.9,2.45,0.0,102.45,-40379.630000000005,30321.07,10489.29,430.73,ADDTL CC PAYMENT (Checking -$2925.50); ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$2925.50),gas (Credit -$80.00); food (Credit -$20.00)
19,20241106,430.73,825.0,9684.29,15400.0,0.0,14916.17,7.35,2.45,0.0,22.45,-40402.08,30323.519999999997,10509.29,430.73,,food (Credit -$20.00)
20,20241107,430.73,0,10833.92,15400.0,0.0,14916.17,9.8,307.08,0.0,327.08,-40729.16,30325.969999999998,10833.92,430.73,CC INTEREST (Credit: Prev Stmt Bal +$304.63); CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00); CC MIN PAYMENT ALREADY MADE (Checking -$0.00),food (Credit -$20.00)
21,20241108,2030.73,20.0,10833.92,15400.0,0.0,14916.17,12.25,2.45,1577.55,0.0,-39151.61,30328.42,10853.92,2030.73,,EMT income (Checking +$1600.00); food (Credit -$20.00)
22,20241109,2030.73,40.0,10833.92,15400.0,0.0,14916.17,14.7,2.45,0.0,22.45,-39174.060000000005,30330.87,10873.92,2030.73,,food (Credit -$20.00)
23,20241110,2030.73,60.0,10833.92,15400.0,0.0,14916.17,17.15,2.45,0.0,22.45,-39196.51,30333.32,10893.92,2030.73,,food (Credit -$20.00)
24,20241111,2030.73,80.0,10833.92,15400.0,0.0,14916.17,19.6,2.45,0.0,22.45,-39218.96,30335.769999999997,10913.92,2030.73,,food (Credit -$20.00)
25,20241112,2030.73,100.0,10833.92,15400.0,0.0,14916.17,22.05,2.45,0.0,22.45,-39241.41,30338.219999999998,10933.92,2030.73,,food (Credit -$20.00)
26,20241113,2030.73,120.0,10833.92,15400.0,0.0,14916.17,24.5,2.45,0.0,22.45,-39263.86,30340.67,10953.92,2030.73,,food (Credit -$20.00)
27,20241114,2030.73,140.0,10833.92,15400.0,0.0,14916.17,26.95,2.45,0.0,22.45,-39286.310000000005,30343.12,10973.92,2030.73,,food (Credit -$20.00)
28,20241115,2030.73,160.0,10833.92,15400.0,0.0,14916.17,29.4,2.45,0.0,22.45,-39308.76,30345.57,10993.92,2030.73,,food (Credit -$20.00)
29,20241116,2030.73,180.0,10833.92,15400.0,0.0,14916.17,31.85,2.45,0.0,22.45,-39331.21,30348.019999999997,11013.92,2030.73,,food (Credit -$20.00)
30,20241117,2030.73,200.0,10833.92,15400.0,0.0,14916.17,34.3,2.45,0.0,22.45,-39353.66,30350.469999999998,11033.92,2030.73,,food (Credit -$20.00)
