,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Memo
0,2023-04-07 00:00:00,3000.0,0.0,0.0,
1,2023-04-08 00:00:00,3000.0,30.0,0.0,food ($30.0) ; 
2,2023-04-09 00:00:00,3000.0,60.0,0.0,food ($30.0) ; 
3,2023-04-10 00:00:00,3000.0,90.0,0.0,food ($30.0) ; 
4,2023-04-11 00:00:00,3000.0,120.0,0.0,food ($30.0) ; 
5,2023-04-12 00:00:00,3000.0,150.0,0.0,food ($30.0) ; 
6,2023-04-13 00:00:00,3000.0,180.0,0.0,food ($30.0) ; 
7,2023-04-14 00:00:00,3000.0,210.0,0.0,food ($30.0) ; 
8,2023-04-15 00:00:00,3000.0,240.0,0.0,food ($30.0) ; 
9,2023-04-16 00:00:00,4000.0,270.0,0.0,income_1k ($1000.0) ; food ($30.0) ; 
10,2023-04-17 00:00:00,4000.0,300.0,0.0,food ($30.0) ; 
11,2023-04-18 00:00:00,4000.0,330.0,0.0,food ($30.0) ; 
12,2023-04-19 00:00:00,4000.0,360.0,0.0,food ($30.0) ; 
13,2023-04-20 00:00:00,4000.0,390.0,0.0,food ($30.0) ; 
14,2023-04-21 00:00:00,4000.0,420.0,0.0,food ($30.0) ; 
15,2023-04-22 00:00:00,4000.0,450.0,0.0,food ($30.0) ; 
16,2023-04-23 00:00:00,4000.0,480.0,0.0,food ($30.0) ; 
17,2023-04-24 00:00:00,4000.0,510.0,0.0,food ($30.0) ; 
18,2023-04-25 00:00:00,4000.0,540.0,0.0,food ($30.0) ; 
19,2023-04-26 00:00:00,4000.0,570.0,0.0,food ($30.0) ; 
20,2023-04-27 00:00:00,4000.0,600.0,0.0,food ($30.0) ; 
21,2023-04-28 00:00:00,4000.0,1223.5900000000001,0.0,health insurance ($175.5) ; phone bill ($163.09) ; gas and bus ($100.0) ; car insurance ($89.0) ; gym ($33.0) ; food ($30.0) ; hbo max ($15.0) ; spotify ($10.0) ; hulu ($8.0) ; 
22,2023-04-29 00:00:00,4000.0,1253.5900000000001,0.0,food ($30.0) ; 
23,2023-04-30 00:00:00,5000.0,1283.5900000000001,0.0,income_1k ($1000.0) ; food ($30.0) ; 
24,2023-05-01 00:00:00,5000.0,1313.5900000000001,0.0,food ($30.0) ; 
