Date,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Loan A: Principal Balance,Loan A: Interest,Loan B: Principal Balance,Loan B: Interest,Loan C: Principal Balance,Loan C: Interest,Loan D: Principal Balance,Loan D: Interest,Loan E: Principal Balance,Loan E: Interest,Tax Debt: Principal Balance,Tax Debt: Interest,Memo
2023-03-31,2023-03-31 00:00:00,4224.62,430.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,
2023-04-01,2023-04-01 00:00:00,2006.62,560.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,2034 33rd ave rent ($1918.0) ; 2034 33rd ave utilities ($300.0) ; gas and bus ($100.0) ; food ($30.0) ; 
2023-04-02,2023-04-02 00:00:00,2456.62,590.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-04-03,2023-04-03 00:00:00,2214.0299999999997,0.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; Credit cc min payment ($242.58960000000002) ; 
2023-04-04,2023-04-04 00:00:00,2214.0299999999997,30.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-05,2023-04-05 00:00:00,2214.0299999999997,60.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-06,2023-04-06 00:00:00,2214.0299999999997,90.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-07,2023-04-07 00:00:00,2214.0299999999997,163.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,gym ($33.0) ; food ($30.0) ; spotify ($10.0) ; 
2023-04-08,2023-04-08 00:00:00,2214.0299999999997,193.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-09,2023-04-09 00:00:00,2664.0299999999997,223.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-04-10,2023-04-10 00:00:00,2664.0299999999997,253.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-11,2023-04-11 00:00:00,2664.0299999999997,283.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-12,2023-04-12 00:00:00,2664.0299999999997,313.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-13,2023-04-13 00:00:00,2664.0299999999997,343.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-14,2023-04-14 00:00:00,2664.0299999999997,373.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-15,2023-04-15 00:00:00,2664.0299999999997,403.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-16,2023-04-16 00:00:00,3114.0299999999997,433.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-04-17,2023-04-17 00:00:00,3114.0299999999997,552.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,car insurance ($89.0) ; food ($30.0) ; 
2023-04-18,2023-04-18 00:00:00,3114.0299999999997,582.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-19,2023-04-19 00:00:00,3114.0299999999997,635.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; hbo max ($15.0) ; hulu ($8.0) ; 
2023-04-20,2023-04-20 00:00:00,3114.0299999999997,665.0,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-21,2023-04-21 00:00:00,3114.0299999999997,870.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,health insurance ($175.5) ; food ($30.0) ; 
2023-04-22,2023-04-22 00:00:00,3114.0299999999997,900.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-23,2023-04-23 00:00:00,3564.0299999999997,930.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
2023-04-24,2023-04-24 00:00:00,3564.0299999999997,960.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-25,2023-04-25 00:00:00,3564.0299999999997,990.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-26,2023-04-26 00:00:00,3564.0299999999997,1020.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-27,2023-04-27 00:00:00,3564.0299999999997,1150.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,internet ($100.0) ; food ($30.0) ; 
2023-04-28,2023-04-28 00:00:00,3564.0299999999997,1180.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-04-29,2023-04-29 00:00:00,3564.0299999999997,1210.5,7896.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
